User ID,Age,Gender,Location (City - Subarea),"Coordinates (X, Y)",Service Category Preferences,"Ratings (Plumbing, Housekeeping, etc.)",Number of Requests
1135,37,Female,El Oued - Guemar,"(33.133, 6.9)","Event Planning, Tutoring & Educational","Event Planning (4.0), Tutoring & Educational (3.2)",8
1136,54,Female,Skikda - La Cloche,"(36.866, 6.906)","Home Appliance Repair, Plumbing, Personal Care (Home Services), Event Planning, Carpentry","Home Appliance Repair (4.9), Plumbing (4.9), Personal Care (Home Services) (3.1), Event Planning (3.5), Carpentry (4.4)",20
1137,24,Female,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Plastering & Tiling, Electrical Services, Home Appliance Repair, Event Planning","Plastering & Tiling (4.4), Electrical Services (5.0), Home Appliance Repair (3.8), Event Planning (4.4)",26
1138,37,Male,Adrar - Timimoun,"(27.46, 0.286)","Event Planning, Pest Control","Event Planning (4.9), Pest Control (3.4)",29
1139,21,Female,Setif - Belkhir,"(36.185, 5.404)","Personal Care (Home Services), Pest Control, Electrical Services, Event Planning, Housekeeping / Cleaning","Personal Care (Home Services) (4.6), Pest Control (4.3), Electrical Services (4.6), Event Planning (4.0), Housekeeping / Cleaning (3.9)",20
1140,22,Male,Blida - Chrea,"(36.482, 2.831)","Babysitting & Childcare, Tailoring & Alteration","Babysitting & Childcare (4.1), Tailoring & Alteration (3.5)",16
1141,58,Female,Biskra - El Hassi,"(34.85, 5.72)","Event Planning, Painting & Renovation, Housekeeping / Cleaning","Event Planning (4.9), Painting & Renovation (4.4), Housekeeping / Cleaning (3.5)",6
1142,31,Female,Tiaret - Merine,"(35.371, 1.315)","Plastering & Tiling, Tutoring & Educational, Painting & Renovation, Housekeeping / Cleaning, Personal Care (Home Services)","Plastering & Tiling (3.8), Tutoring & Educational (3.5), Painting & Renovation (4.0), Housekeeping / Cleaning (4.6), Personal Care (Home Services) (3.7)",25
1143,20,Male,Ghardaia - M'zab Valley,"(32.485, 3.666)","Personal Care (Home Services), Event Planning, Tutoring & Educational","Personal Care (Home Services) (4.7), Event Planning (3.5), Tutoring & Educational (4.8)",30
1144,49,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Home Appliance Repair, Plastering & Tiling, Tailoring & Alteration","Home Appliance Repair (3.4), Plastering & Tiling (4.4), Tailoring & Alteration (4.3)",15
1145,24,Male,Adrar - Timimoun,"(27.46, 0.286)","Babysitting & Childcare, Plastering & Tiling","Babysitting & Childcare (4.6), Plastering & Tiling (4.9)",10
1146,57,Female,Biskra - El Hassi,"(34.85, 5.72)","Personal Care (Home Services), Electrical Services","Personal Care (Home Services) (4.4), Electrical Services (4.2)",22
1147,19,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Personal Care (Home Services), Tailoring & Alteration, Plumbing","Personal Care (Home Services) (4.0), Tailoring & Alteration (4.7), Plumbing (3.7)",28
1148,40,Male,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Tutoring & Educational, Auto Repair, Carpentry","Tutoring & Educational (4.7), Auto Repair (4.6), Carpentry (4.6)",21
1149,20,Male,Tiaret - Merine,"(35.371, 1.315)","Tailoring & Alteration, Plumbing, Electrical Services, Tutoring & Educational","Tailoring & Alteration (4.2), Plumbing (3.0), Electrical Services (4.0), Tutoring & Educational (4.5)",22
1150,27,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Housekeeping / Cleaning, Event Planning, Electrical Services","Housekeeping / Cleaning (3.8), Event Planning (4.4), Electrical Services (3.2)",8
1151,25,Female,Illizi - Djanet,"(26.269, 9.484)","Event Planning, Home Appliance Repair, Plastering & Tiling, Painting & Renovation","Event Planning (3.2), Home Appliance Repair (4.9), Plastering & Tiling (4.0), Painting & Renovation (4.1)",30
1152,48,Female,Blida - Chrea,"(36.482, 2.831)","Painting & Renovation, Babysitting & Childcare, Event Planning, Electrical Services","Painting & Renovation (3.9), Babysitting & Childcare (3.6), Event Planning (3.1), Electrical Services (4.7)",22
1153,56,Male,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Plastering & Tiling, Pest Control, Tutoring & Educational","Plastering & Tiling (3.4), Pest Control (3.2), Tutoring & Educational (3.9)",25
1154,47,Female,Mostaganem - Ain Nouissy,"(35.929, 0.089)","Auto Repair, Home Appliance Repair, Event Planning","Auto Repair (3.7), Home Appliance Repair (4.7), Event Planning (3.6)",16
1155,46,Male,Medea - Bordj Menaiel,"(36.267, 2.741)","Home Appliance Repair, Tailoring & Alteration, Babysitting & Childcare","Home Appliance Repair (4.2), Tailoring & Alteration (4.9), Babysitting & Childcare (4.4)",7
1156,29,Female,Algiers - Sidi Abdallah,"(36.745, 3.25)","Event Planning, Auto Repair","Event Planning (4.5), Auto Repair (3.1)",22
1157,29,Male,Batna - Aïn Touta,"(35.552, 5.804)","Painting & Renovation, Auto Repair, Tailoring & Alteration, Babysitting & Childcare, Personal Care (Home Services)","Painting & Renovation (3.4), Auto Repair (4.4), Tailoring & Alteration (4.6), Babysitting & Childcare (4.1), Personal Care (Home Services) (3.5)",26
1158,36,Male,Skikda - La Cloche,"(36.866, 6.906)","Tutoring & Educational, Painting & Renovation, Auto Repair, Housekeeping / Cleaning, Personal Care (Home Services)","Tutoring & Educational (3.9), Painting & Renovation (3.0), Auto Repair (4.4), Housekeeping / Cleaning (4.5), Personal Care (Home Services) (3.7)",9
1159,40,Male,Setif - Belkhir,"(36.185, 5.404)","Event Planning, Plumbing, Painting & Renovation","Event Planning (3.7), Plumbing (3.9), Painting & Renovation (3.7)",7
1160,28,Female,Annaba - El Hadjar,"(36.862, 7.76)","Pest Control, Tailoring & Alteration, Personal Care (Home Services), Babysitting & Childcare, Painting & Renovation","Pest Control (4.9), Tailoring & Alteration (4.8), Personal Care (Home Services) (4.1), Babysitting & Childcare (3.9), Painting & Renovation (3.6)",29
1161,19,Male,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)","Carpentry, Tutoring & Educational, Plumbing","Carpentry (3.6), Tutoring & Educational (4.9), Plumbing (3.9)",30
1162,32,Male,Skikda - La Cloche,"(36.866, 6.906)","Personal Care (Home Services), Housekeeping / Cleaning, Babysitting & Childcare, Painting & Renovation","Personal Care (Home Services) (3.5), Housekeeping / Cleaning (4.5), Babysitting & Childcare (3.2), Painting & Renovation (4.6)",19
1163,56,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Personal Care (Home Services), Plastering & Tiling, Home Appliance Repair, Tailoring & Alteration","Personal Care (Home Services) (4.1), Plastering & Tiling (4.7), Home Appliance Repair (4.4), Tailoring & Alteration (4.1)",30
1164,51,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Babysitting & Childcare, Tailoring & Alteration","Babysitting & Childcare (3.6), Tailoring & Alteration (3.8)",8
1165,32,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Home Appliance Repair, Housekeeping / Cleaning, Electrical Services","Home Appliance Repair (3.3), Housekeeping / Cleaning (4.8), Electrical Services (4.2)",17
1166,24,Male,Illizi - Djanet,"(26.269, 9.484)","Painting & Renovation, Electrical Services, Plastering & Tiling, Plumbing, Event Planning","Painting & Renovation (4.5), Electrical Services (4.5), Plastering & Tiling (4.1), Plumbing (4.2), Event Planning (3.3)",8
1167,35,Female,Illizi - Djanet,"(26.269, 9.484)","Painting & Renovation, Housekeeping / Cleaning","Painting & Renovation (3.5), Housekeeping / Cleaning (4.1)",21
1168,25,Female,Tiaret - Merine,"(35.371, 1.315)","Babysitting & Childcare, Tailoring & Alteration, Carpentry, Home Appliance Repair, Auto Repair","Babysitting & Childcare (4.9), Tailoring & Alteration (3.7), Carpentry (4.6), Home Appliance Repair (3.1), Auto Repair (4.3)",24
1169,45,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Tailoring & Alteration, Plumbing, Carpentry","Tailoring & Alteration (4.7), Plumbing (3.5), Carpentry (3.7)",30
1170,37,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Electrical Services, Babysitting & Childcare, Tailoring & Alteration","Electrical Services (4.0), Babysitting & Childcare (4.1), Tailoring & Alteration (3.8)",28
1171,24,Male,Blida - Chrea,"(36.482, 2.831)","Housekeeping / Cleaning, Plumbing, Personal Care (Home Services)","Housekeeping / Cleaning (3.4), Plumbing (3.3), Personal Care (Home Services) (3.6)",7
1172,22,Male,Chlef - Tacheta,"(36.153, 1.333)","Auto Repair, Tutoring & Educational","Auto Repair (3.3), Tutoring & Educational (4.0)",21
1173,56,Male,Illizi - Djanet,"(26.269, 9.484)","Babysitting & Childcare, Plumbing","Babysitting & Childcare (3.6), Plumbing (4.0)",19
1174,18,Female,Constantine - Ziadia,"(36.365, 6.613)","Carpentry, Housekeeping / Cleaning, Babysitting & Childcare","Carpentry (4.5), Housekeeping / Cleaning (3.1), Babysitting & Childcare (3.0)",28
1175,50,Male,El Oued - Guemar,"(33.133, 6.9)","Tutoring & Educational, Carpentry","Tutoring & Educational (4.4), Carpentry (3.1)",7
1176,22,Female,Setif - Belkhir,"(36.185, 5.404)","Electrical Services, Tutoring & Educational","Electrical Services (3.8), Tutoring & Educational (4.5)",22
1177,25,Female,Skikda - La Cloche,"(36.866, 6.906)","Painting & Renovation, Tutoring & Educational, Pest Control, Housekeeping / Cleaning","Painting & Renovation (4.0), Tutoring & Educational (3.1), Pest Control (4.5), Housekeeping / Cleaning (4.4)",26
1178,53,Male,El Oued - Guemar,"(33.133, 6.9)","Plastering & Tiling, Auto Repair, Plumbing, Tutoring & Educational","Plastering & Tiling (4.4), Auto Repair (3.5), Plumbing (3.0), Tutoring & Educational (4.7)",9
1179,26,Female,Biskra - El Hassi,"(34.85, 5.72)","Housekeeping / Cleaning, Event Planning, Tailoring & Alteration","Housekeeping / Cleaning (4.2), Event Planning (3.1), Tailoring & Alteration (3.3)",25
1180,34,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Personal Care (Home Services), Home Appliance Repair","Personal Care (Home Services) (3.8), Home Appliance Repair (3.1)",5
1181,43,Female,Adrar - Timimoun,"(27.46, 0.286)","Pest Control, Tutoring & Educational, Painting & Renovation","Pest Control (4.8), Tutoring & Educational (4.9), Painting & Renovation (3.2)",27
1182,54,Female,Algiers - Sidi Abdallah,"(36.745, 3.25)","Electrical Services, Event Planning, Painting & Renovation, Pest Control, Home Appliance Repair","Electrical Services (4.6), Event Planning (3.5), Painting & Renovation (3.0), Pest Control (4.7), Home Appliance Repair (3.6)",21
1183,34,Female,Adrar - Timimoun,"(27.46, 0.286)","Tailoring & Alteration, Event Planning, Auto Repair","Tailoring & Alteration (3.3), Event Planning (4.7), Auto Repair (3.3)",8
1184,22,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Electrical Services, Painting & Renovation, Plastering & Tiling","Electrical Services (3.7), Painting & Renovation (4.6), Plastering & Tiling (3.2)",15
1185,47,Female,Setif - Belkhir,"(36.185, 5.404)","Carpentry, Event Planning","Carpentry (4.4), Event Planning (4.9)",23
1186,42,Female,Tiaret - Merine,"(35.371, 1.315)","Carpentry, Electrical Services, Auto Repair, Painting & Renovation, Pest Control","Carpentry (3.6), Electrical Services (3.5), Auto Repair (3.3), Painting & Renovation (4.8), Pest Control (4.2)",25
1187,23,Male,Biskra - El Hassi,"(34.85, 5.72)","Housekeeping / Cleaning, Painting & Renovation, Auto Repair","Housekeeping / Cleaning (4.8), Painting & Renovation (4.4), Auto Repair (4.2)",18
1188,21,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Housekeeping / Cleaning, Painting & Renovation, Tutoring & Educational, Plumbing","Housekeeping / Cleaning (3.6), Painting & Renovation (4.2), Tutoring & Educational (4.2), Plumbing (4.6)",16
1189,60,Female,M'sila - Ksar El Hirane,"(35.45, 4.52)","Carpentry, Tutoring & Educational, Electrical Services","Carpentry (4.0), Tutoring & Educational (4.2), Electrical Services (3.3)",9
1190,57,Male,M'sila - Ksar El Hirane,"(35.45, 4.52)","Babysitting & Childcare, Housekeeping / Cleaning, Home Appliance Repair, Auto Repair, Tailoring & Alteration","Babysitting & Childcare (4.3), Housekeeping / Cleaning (3.9), Home Appliance Repair (3.4), Auto Repair (3.8), Tailoring & Alteration (3.1)",25
1191,57,Male,Bejaia - Tizi Rached,"(36.761, 5.748)","Event Planning, Babysitting & Childcare","Event Planning (4.5), Babysitting & Childcare (4.6)",23
1192,19,Female,Setif - Belkhir,"(36.185, 5.404)","Tailoring & Alteration, Auto Repair, Painting & Renovation","Tailoring & Alteration (3.1), Auto Repair (4.7), Painting & Renovation (4.0)",19
1193,40,Male,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Pest Control, Event Planning","Pest Control (3.2), Event Planning (4.6)",8
1194,22,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Housekeeping / Cleaning, Personal Care (Home Services), Home Appliance Repair, Auto Repair","Housekeeping / Cleaning (3.2), Personal Care (Home Services) (3.7), Home Appliance Repair (4.0), Auto Repair (4.2)",22
1195,57,Male,Skikda - La Cloche,"(36.866, 6.906)","Auto Repair, Babysitting & Childcare, Event Planning, Personal Care (Home Services)","Auto Repair (3.6), Babysitting & Childcare (4.1), Event Planning (4.7), Personal Care (Home Services) (4.9)",23
1196,58,Female,Illizi - Djanet,"(26.269, 9.484)","Plastering & Tiling, Event Planning, Tutoring & Educational","Plastering & Tiling (5.0), Event Planning (4.4), Tutoring & Educational (3.9)",15
1197,45,Female,Chlef - Tacheta,"(36.153, 1.333)","Plastering & Tiling, Pest Control, Tutoring & Educational, Auto Repair","Plastering & Tiling (4.6), Pest Control (3.2), Tutoring & Educational (3.1), Auto Repair (4.7)",17
1198,48,Female,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Electrical Services, Plumbing","Electrical Services (4.7), Plumbing (4.8)",25
1199,49,Male,El Oued - Guemar,"(33.133, 6.9)","Pest Control, Plumbing, Personal Care (Home Services), Event Planning","Pest Control (4.1), Plumbing (3.0), Personal Care (Home Services) (3.8), Event Planning (4.7)",30
1200,31,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Plumbing, Auto Repair, Pest Control","Plumbing (3.0), Auto Repair (3.5), Pest Control (4.0)",20
1201,51,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Pest Control, Housekeeping / Cleaning","Pest Control (3.4), Housekeeping / Cleaning (3.8)",23
1202,56,Female,Medea - Bordj Menaiel,"(36.267, 2.741)","Babysitting & Childcare, Tutoring & Educational, Pest Control, Tailoring & Alteration, Electrical Services","Babysitting & Childcare (3.2), Tutoring & Educational (4.2), Pest Control (4.9), Tailoring & Alteration (3.9), Electrical Services (3.0)",20
1203,29,Male,Oran - El Hassi,"(35.72, -0.63)","Plastering & Tiling, Electrical Services, Tutoring & Educational, Plumbing, Housekeeping / Cleaning","Plastering & Tiling (3.3), Electrical Services (3.9), Tutoring & Educational (4.9), Plumbing (3.6), Housekeeping / Cleaning (3.8)",25
1204,20,Male,Mostaganem - Ain Nouissy,"(35.929, 0.089)","Event Planning, Auto Repair, Home Appliance Repair, Babysitting & Childcare","Event Planning (3.9), Auto Repair (3.3), Home Appliance Repair (4.0), Babysitting & Childcare (3.5)",6
1205,40,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Auto Repair, Housekeeping / Cleaning, Carpentry, Electrical Services, Pest Control","Auto Repair (4.8), Housekeeping / Cleaning (4.0), Carpentry (3.7), Electrical Services (3.8), Pest Control (3.4)",11
1206,38,Male,Annaba - El Hadjar,"(36.862, 7.76)","Babysitting & Childcare, Carpentry, Pest Control, Housekeeping / Cleaning","Babysitting & Childcare (4.1), Carpentry (3.3), Pest Control (3.8), Housekeeping / Cleaning (4.6)",8
1207,56,Male,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Painting & Renovation, Babysitting & Childcare, Carpentry, Tailoring & Alteration, Housekeeping / Cleaning","Painting & Renovation (4.0), Babysitting & Childcare (4.5), Carpentry (4.8), Tailoring & Alteration (4.5), Housekeeping / Cleaning (4.2)",22
1208,43,Male,Algiers - Sidi Abdallah,"(36.745, 3.25)","Personal Care (Home Services), Event Planning, Painting & Renovation, Plastering & Tiling, Carpentry","Personal Care (Home Services) (4.0), Event Planning (3.6), Painting & Renovation (3.7), Plastering & Tiling (3.8), Carpentry (3.0)",18
1209,22,Female,Algiers - Sidi Abdallah,"(36.745, 3.25)","Tailoring & Alteration, Electrical Services","Tailoring & Alteration (4.6), Electrical Services (3.9)",12
1210,42,Male,Adrar - Timimoun,"(27.46, 0.286)","Carpentry, Event Planning, Electrical Services, Tailoring & Alteration","Carpentry (4.3), Event Planning (3.2), Electrical Services (4.3), Tailoring & Alteration (4.1)",17
1211,47,Male,Tiaret - Merine,"(35.371, 1.315)","Tailoring & Alteration, Housekeeping / Cleaning, Painting & Renovation","Tailoring & Alteration (3.6), Housekeeping / Cleaning (4.0), Painting & Renovation (4.8)",16
1212,28,Female,Oran - El Hassi,"(35.72, -0.63)","Electrical Services, Plastering & Tiling, Babysitting & Childcare, Event Planning, Tutoring & Educational","Electrical Services (4.1), Plastering & Tiling (5.0), Babysitting & Childcare (3.8), Event Planning (3.5), Tutoring & Educational (3.1)",14
1213,37,Male,Sidi Bel Abbes - El Gharbi,"(35.189, -0.63)","Plumbing, Event Planning, Home Appliance Repair","Plumbing (4.1), Event Planning (4.8), Home Appliance Repair (3.0)",19
1214,23,Male,Oran - El Hassi,"(35.72, -0.63)","Plastering & Tiling, Carpentry, Auto Repair, Babysitting & Childcare","Plastering & Tiling (4.6), Carpentry (3.5), Auto Repair (4.4), Babysitting & Childcare (3.2)",18
1215,22,Male,M'sila - Ksar El Hirane,"(35.45, 4.52)","Plumbing, Babysitting & Childcare, Plastering & Tiling, Housekeeping / Cleaning, Painting & Renovation","Plumbing (4.2), Babysitting & Childcare (3.9), Plastering & Tiling (3.2), Housekeeping / Cleaning (3.2), Painting & Renovation (4.5)",6
1216,55,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Plumbing, Personal Care (Home Services), Pest Control","Plumbing (4.2), Personal Care (Home Services) (4.8), Pest Control (3.6)",11
1217,21,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Auto Repair, Home Appliance Repair, Plumbing","Auto Repair (4.8), Home Appliance Repair (3.5), Plumbing (3.0)",30
1218,59,Female,Skikda - La Cloche,"(36.866, 6.906)","Housekeeping / Cleaning, Personal Care (Home Services), Tutoring & Educational","Housekeeping / Cleaning (4.9), Personal Care (Home Services) (3.1), Tutoring & Educational (3.5)",15
1219,29,Male,Annaba - El Hadjar,"(36.862, 7.76)","Painting & Renovation, Pest Control, Event Planning, Home Appliance Repair","Painting & Renovation (4.4), Pest Control (4.1), Event Planning (3.5), Home Appliance Repair (4.4)",22
1220,24,Female,Tiaret - Merine,"(35.371, 1.315)","Carpentry, Plastering & Tiling, Electrical Services, Personal Care (Home Services)","Carpentry (4.7), Plastering & Tiling (3.9), Electrical Services (3.2), Personal Care (Home Services) (4.2)",8
1221,41,Female,Mostaganem - Ain Nouissy,"(35.929, 0.089)","Plumbing, Personal Care (Home Services), Housekeeping / Cleaning, Tutoring & Educational, Pest Control","Plumbing (4.1), Personal Care (Home Services) (3.1), Housekeeping / Cleaning (4.8), Tutoring & Educational (4.5), Pest Control (4.6)",11
1222,29,Female,Batna - Aïn Touta,"(35.552, 5.804)","Home Appliance Repair, Event Planning","Home Appliance Repair (3.2), Event Planning (5.0)",20
1223,31,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Event Planning, Babysitting & Childcare, Auto Repair, Carpentry","Event Planning (4.7), Babysitting & Childcare (3.5), Auto Repair (4.7), Carpentry (3.5)",19
1224,59,Male,Setif - Belkhir,"(36.185, 5.404)","Housekeeping / Cleaning, Event Planning, Plastering & Tiling, Auto Repair","Housekeeping / Cleaning (4.5), Event Planning (3.8), Plastering & Tiling (3.5), Auto Repair (4.3)",24
1225,39,Male,Illizi - Djanet,"(26.269, 9.484)","Personal Care (Home Services), Tailoring & Alteration, Auto Repair, Painting & Renovation","Personal Care (Home Services) (4.1), Tailoring & Alteration (4.4), Auto Repair (4.2), Painting & Renovation (4.1)",24
1226,29,Male,Skikda - La Cloche,"(36.866, 6.906)","Carpentry, Electrical Services, Home Appliance Repair, Auto Repair","Carpentry (3.3), Electrical Services (4.2), Home Appliance Repair (4.0), Auto Repair (3.6)",20
1227,32,Female,Annaba - El Hadjar,"(36.862, 7.76)","Carpentry, Tutoring & Educational, Auto Repair, Tailoring & Alteration","Carpentry (4.7), Tutoring & Educational (4.7), Auto Repair (4.4), Tailoring & Alteration (3.4)",10
1228,52,Male,M'sila - Ksar El Hirane,"(35.45, 4.52)","Pest Control, Personal Care (Home Services), Housekeeping / Cleaning, Painting & Renovation, Tailoring & Alteration","Pest Control (4.6), Personal Care (Home Services) (4.1), Housekeeping / Cleaning (3.7), Painting & Renovation (3.2), Tailoring & Alteration (4.9)",18
1229,18,Female,Skikda - La Cloche,"(36.866, 6.906)","Tailoring & Alteration, Plastering & Tiling, Painting & Renovation","Tailoring & Alteration (4.1), Plastering & Tiling (3.1), Painting & Renovation (3.3)",27
1230,54,Female,Oran - El Hassi,"(35.72, -0.63)","Home Appliance Repair, Babysitting & Childcare, Housekeeping / Cleaning, Tutoring & Educational","Home Appliance Repair (3.7), Babysitting & Childcare (3.3), Housekeeping / Cleaning (4.2), Tutoring & Educational (3.9)",28
1231,18,Female,Skikda - La Cloche,"(36.866, 6.906)","Electrical Services, Plastering & Tiling, Auto Repair, Babysitting & Childcare, Tutoring & Educational","Electrical Services (4.2), Plastering & Tiling (4.5), Auto Repair (3.3), Babysitting & Childcare (4.2), Tutoring & Educational (3.8)",10
1232,57,Male,Chlef - Tacheta,"(36.153, 1.333)","Event Planning, Personal Care (Home Services), Electrical Services","Event Planning (4.2), Personal Care (Home Services) (4.8), Electrical Services (4.2)",25
1233,42,Female,Bejaia - Tizi Rached,"(36.761, 5.748)","Housekeeping / Cleaning, Tailoring & Alteration, Auto Repair, Pest Control","Housekeeping / Cleaning (3.6), Tailoring & Alteration (4.7), Auto Repair (3.6), Pest Control (3.8)",10
1234,37,Female,Setif - Belkhir,"(36.185, 5.404)","Home Appliance Repair, Housekeeping / Cleaning, Pest Control, Tutoring & Educational, Auto Repair","Home Appliance Repair (3.9), Housekeeping / Cleaning (4.7), Pest Control (4.7), Tutoring & Educational (4.2), Auto Repair (4.3)",25
1235,31,Female,Illizi - Djanet,"(26.269, 9.484)","Painting & Renovation, Housekeeping / Cleaning, Pest Control, Plumbing, Plastering & Tiling","Painting & Renovation (3.4), Housekeeping / Cleaning (4.6), Pest Control (4.1), Plumbing (3.7), Plastering & Tiling (3.6)",23
1236,34,Male,Tizi Ouzou - Ait Ali,"(36.716, 4.044)","Housekeeping / Cleaning, Home Appliance Repair, Pest Control, Electrical Services","Housekeeping / Cleaning (4.9), Home Appliance Repair (3.8), Pest Control (3.7), Electrical Services (3.1)",18
1237,50,Female,M'sila - Ksar El Hirane,"(35.45, 4.52)","Electrical Services, Home Appliance Repair","Electrical Services (4.7), Home Appliance Repair (4.0)",11
1238,37,Male,Mostaganem - Ain Nouissy,"(35.929, 0.089)","Carpentry, Event Planning, Tailoring & Alteration, Painting & Renovation, Plumbing","Carpentry (3.2), Event Planning (3.2), Tailoring & Alteration (4.2), Painting & Renovation (4.8), Plumbing (4.4)",27
1239,39,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Event Planning, Personal Care (Home Services), Painting & Renovation, Babysitting & Childcare","Event Planning (4.9), Personal Care (Home Services) (4.3), Painting & Renovation (3.2), Babysitting & Childcare (4.2)",13
1240,46,Female,Bejaia - Tizi Rached,"(36.761, 5.748)","Plastering & Tiling, Electrical Services","Plastering & Tiling (3.6), Electrical Services (4.6)",8
1241,27,Female,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)","Tutoring & Educational, Plumbing, Babysitting & Childcare, Home Appliance Repair, Event Planning","Tutoring & Educational (4.4), Plumbing (3.3), Babysitting & Childcare (4.3), Home Appliance Repair (4.5), Event Planning (4.0)",14
1242,33,Male,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)","Electrical Services, Personal Care (Home Services), Housekeeping / Cleaning, Event Planning, Painting & Renovation","Electrical Services (3.9), Personal Care (Home Services) (3.9), Housekeeping / Cleaning (4.6), Event Planning (4.2), Painting & Renovation (4.6)",12
1243,33,Female,Tlemcen - Sidi Bel Abbes,"(34.887, -1.32)","Carpentry, Auto Repair, Home Appliance Repair, Painting & Renovation","Carpentry (4.3), Auto Repair (3.5), Home Appliance Repair (4.7), Painting & Renovation (4.8)",11
1244,24,Female,Bejaia - Tizi Rached,"(36.761, 5.748)","Auto Repair, Personal Care (Home Services), Event Planning, Carpentry","Auto Repair (4.5), Personal Care (Home Services) (3.3), Event Planning (4.0), Carpentry (4.1)",17
1245,23,Female,Tiaret - Merine,"(35.371, 1.315)","Plastering & Tiling, Auto Repair","Plastering & Tiling (3.1), Auto Repair (4.4)",15
1246,52,Male,Biskra - El Hassi,"(34.85, 5.72)","Event Planning, Auto Repair, Babysitting & Childcare, Carpentry, Home Appliance Repair","Event Planning (4.5), Auto Repair (3.8), Babysitting & Childcare (4.6), Carpentry (4.2), Home Appliance Repair (3.0)",10
1247,34,Female,Ouargla - Hassi Messaoud,"(32.49, 6.266)","Carpentry, Painting & Renovation, Auto Repair","Carpentry (4.4), Painting & Renovation (3.9), Auto Repair (3.0)",23
1248,45,Male,Skikda - La Cloche,"(36.866, 6.906)","Carpentry, Tailoring & Alteration, Plastering & Tiling","Carpentry (3.1), Tailoring & Alteration (3.3), Plastering & Tiling (4.1)",15
1249,39,Male,M'sila - Ksar El Hirane,"(35.45, 4.52)","Auto Repair, Personal Care (Home Services), Plastering & Tiling, Plumbing","Auto Repair (4.9), Personal Care (Home Services) (4.7), Plastering & Tiling (4.7), Plumbing (4.6)",24
1250,59,Female,Ghardaia - M'zab Valley,"(32.485, 3.666)","Electrical Services, Home Appliance Repair, Plumbing, Event Planning, Personal Care (Home Services)","Electrical Services (3.1), Home Appliance Repair (4.8), Plumbing (4.1), Event Planning (3.6), Personal Care (Home Services) (4.3)",7
1251,47,Male,Medea - Bordj Menaiel,"(36.267, 2.741)","Tutoring & Educational, Home Appliance Repair, Painting & Renovation","Tutoring & Educational (4.0), Home Appliance Repair (4.8), Painting & Renovation (3.4)",25
1252,40,Female,Illizi - Djanet,"(26.269, 9.484)","Personal Care (Home Services), Pest Control, Carpentry, Tutoring & Educational","Personal Care (Home Services) (3.7), Pest Control (3.9), Carpentry (3.3), Tutoring & Educational (4.8)",5
1253,51,Male,Chlef - Tacheta,"(36.153, 1.333)","Carpentry, Auto Repair, Home Appliance Repair, Painting & Renovation","Carpentry (4.6), Auto Repair (4.7), Home Appliance Repair (4.4), Painting & Renovation (3.0)",13
1254,30,Female,Biskra - El Hassi,"(34.85, 5.72)","Personal Care (Home Services), Plumbing, Home Appliance Repair","Personal Care (Home Services) (3.1), Plumbing (3.4), Home Appliance Repair (4.6)",8
1255,28,Female,Bordj Bou Arreridj - El Achir,"(36.18, 3.086)","Carpentry, Event Planning, Painting & Renovation, Tailoring & Alteration, Pest Control","Carpentry (3.3), Event Planning (3.5), Painting & Renovation (3.5), Tailoring & Alteration (4.4), Pest Control (3.4)",10
1256,51,Male,Chlef - Tacheta,"(36.153, 1.333)","Electrical Services, Tutoring & Educational, Plastering & Tiling, Personal Care (Home Services), Pest Control","Electrical Services (4.9), Tutoring & Educational (3.0), Plastering & Tiling (3.5), Personal Care (Home Services) (4.8), Pest Control (3.8)",7
1257,54,Female,Batna - Aïn Touta,"(35.552, 5.804)","Pest Control, Plumbing","Pest Control (3.6), Plumbing (3.3)",15
